code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
VPSC71H3,ART_LIT_LANG,,"This course investigates the relationship of the body to the camera. Using both still and video cameras and live performance students will create works that unite the performative and the mediated image. The course will cover how the body is framed and represented in contemporary art, advertising and the media.",,"VPHA46H3 and [2.0 credits at the B- or C-level in VPS courses including 0.5 credit taken from: VPSB58H3, VPSB67H3, VPSB75H3, VPSB76H3, or VPSB77H3]",,Performing with Cameras,,
VPSC73H3,ART_LIT_LANG,,"Interdisciplinary Drawing Concepts will extend drawing into a range of other media, allowing students to explore the sculptural, temporal and performative potential of mark- making.",,VPHA46H3 and VPSB70H3 and VPSB74H3 and [an additional 1.0 credit at the B- or C-level in VPS courses],VIS308H3,Interdisciplinary Drawing,,
VPSC75H3,ART_LIT_LANG,,Advanced Sculpture will provide students with an opportunity for a deeper investigation into various materials and fabrication techniques. This course will focus on the theory and practice of object making through studio assignments that develop a critical and technical literacy towards both traditional and non-traditional sculpture materials.,,VPHA46H3 and [VPSB59H3 or VPSB71H3 or VPSB86H3] and [an additional 1.5 credits at the B- or C-level in VPS courses],,Advanced Sculpture,,
VPSC76H3,ART_LIT_LANG,,"Lens-based art forms such as photography and video have a rich tradition as a documentary practice. These media have engendered their own techniques, aesthetic, and cultural context. This course is designed to introduce students to the role of the documentary image in contemporary art practice, through personal, conceptual, and photo-journalistic projects accomplished outside of the studio.",,VPHA46H3 and VPSB56H3 and [VPSB58H3 or VPSB67H3] and [1.0 additional credit at the B- or C-level in VPS courses],,The Documentary Image,,
VPSC77H3,ART_LIT_LANG,,"This course will expand photographic practice into a range of other media. Students will explore the sculptural, temporal, performative, and painterly potential of the photograph and photographic technologies.",,VPHA46H3 and VPSB56H3 and VPSB67H3 and [1.0 credit at the B- or C-level in VPS courses],"VIS318H, FAS347Y",Interdisciplinary Photography,,
VPSC80H3,ART_LIT_LANG,,"A course for students interested in designing and publishing artworks using digital tools. The emphasis will be on short-run printed catalogues, along with some exploration of e-books and blogs. Lessons will identify common editorial and image preparation concerns while introducing software for assembling images, videos, sounds, graphics, and texts into coherent and intelligently-designed digital publications. Creative solutions are expected.",,VPHA46H3 and VPSB56H3 and [an additional 1.5 credits at the B- or C-level in VPS courses],"(VPSB72H3), VIS328H",Digital Publishing,,
VPSC85H3,ART_LIT_LANG,,"The studio-seminar course will provide students with discipline-specific historical, theoretical, professional, and practical knowledge for maintaining a sustainable art practice. Students will gain an understanding of how to navigate the cultural, social, political, and financial demands of the professional art world. Topics will include professional ethics, equity and diversity in the art world, understanding career paths, developing writing and presentation skills relevant to the artist, familiarity with grants, contracts and copyright, and acquiring hands-on skills related to the physical handling and maintenance of art objects.",,2.0 FCE at the B-level in VPS,,Essential Skills for Emerging Artists,,
VPSC90H3,HIS_PHIL_CUL,,"This open-media studio-seminar will examine the relationship between contemporary art and globalizing and decolonizing forces, focusing on key topics such as migration, diaspora, colonialism, indigeneity, nationalism, borders, language, translation, and global systems of trade, media, and cultural production. Students will explore current art practices shaped by globalization and will conceive, research, and develop art projects that draw from their experiences of a globalizing world.",,2.5 credits at VPSB-level,VIS325H,Theory and Practice: Art and Globalization,,
VPSC91H3,ART_LIT_LANG,,"This open-media studio seminar will examine the relationship between art and the body, focusing on key topics such as identity (gender, race, ethnicity, sexual orientation), intersectionality, subjectivity, representation, and the gaze. Students will explore artistic methods that are performative, experiential, sensory, and interactive. This course will also examine approaches to the body that consider accessibility, aging, healing, and care. Students will conceive, research, and develop art projects that address contemporary issues related to the body.",,2.5 credits at VPSB-level,,Theory and Practice: Art and the Body,,
VPSC92H3,ART_LIT_LANG,,"This open-media studio-seminar will focus on material-based art practices and critical approaches to the material world. This course will explore topics such as sustainability and Indigenous reciprocity, feminist understanding of materials, the politics of labour, and the role of technology. This course will also examine key concepts such as craft, form, process, time, and dematerialization and consider the role that technique, touch, and participation play in the transformation of material. Students will conceive, research, and develop art projects that address contemporary approaches to material- based art making.",,2.5 credits at VPSB-level,,Theory and Practice: Art and Materials,,
VPSC93H3,ART_LIT_LANG,,"This open-media studio-seminar will examine contemporary artists’ fascination with the everyday, focusing on art practices invested in observation, time, the ephemeral, the domestic, labour, humour, boredom, and failure. This course will also explore critical approaches to found materials and artistic strategies that intervene into everyday environments. Students will conceive, research, and develop art projects that explore the critical and poetic potential of everyday subject matter.",,2.5 credits at the VPSB-level,,Theory and Practice: Art and the Everyday,,
VPSC94H3,ART_LIT_LANG,,"This open-media studio-seminar will focus on contemporary art practices that are invested in the relationship of art to place, exploring topics such as Indigenous land-based knowledges; feminist and anti-racist approaches to geography; ecology and sustainability; accessibility, community, and placemaking; public and site-specific art, and the gallery and museum as context. This course will also take a critical look at systems that organize space including mapping, navigation, land use, public and private property, and institution spaces. Students will conceive, research, and develop art projects that address place and land-based subject matter.",,2.5 credits at VPSB-level,,Theory and Practice: Art and Place,,
